,id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
2671,360.1,1929.0,,0.0,55.56,0.43,2039.0,,481.41,55.56,110.0,2256.91,0.0,0.0,0.0,0.0,0.0,vehroute_360.1 tripinfo_360.1,DEFAULT_VEHTYPE,1.0,
2672,201.12,1536.0,,0.0,55.55,0.71,2040.0,,476.21,55.57,504.0,6291.75,0.0,0.0,0.0,102.57,0.0,vehroute_201.12 tripinfo_201.12,DEFAULT_VEHTYPE,1.0,
2673,235.17,1708.0,,0.0,55.56,2.74,2041.0,,486.13,55.56,333.0,4993.69,24.78,0.0,0.0,24.78,0.0,vehroute_235.17 tripinfo_235.17,DEFAULT_VEHTYPE,1.0,
2674,373.0,1820.0,,0.0,55.56,20.0,2041.0,,494.71,55.55,221.0,3732.3,4.0,0.0,0.0,4.0,0.0,vehroute_373.0 tripinfo_373.0,DEFAULT_VEHTYPE,1.0,
2675,223.11,1450.0,,0.0,55.56,0.0,2042.0,,476.21,55.57,592.0,7663.12,5.07,0.0,0.0,92.26,0.0,vehroute_223.11 tripinfo_223.11,DEFAULT_VEHTYPE,1.0,
2676,140.14,1688.0,,0.0,55.57,0.5,2043.0,,481.41,55.56,355.0,5580.05,5.0,0.0,0.0,5.0,0.0,vehroute_140.14 tripinfo_140.14,DEFAULT_VEHTYPE,1.0,
2677,175.13,1736.0,,0.0,55.57,0.29,2043.0,,494.71,55.55,307.0,4975.61,1.0,0.0,0.0,1.0,0.0,vehroute_175.13 tripinfo_175.13,DEFAULT_VEHTYPE,1.0,
2678,390.0,1810.0,,0.0,55.55,10.0,2043.0,,489.02,55.57,233.0,3963.55,0.0,0.0,0.0,0.0,0.0,vehroute_390.0 tripinfo_390.0,DEFAULT_VEHTYPE,1.0,
2679,139.13,1736.0,,0.0,55.57,0.29,2044.0,,492.01,55.56,308.0,5003.63,0.0,0.0,0.0,0.0,0.0,vehroute_139.13 tripinfo_139.13,DEFAULT_VEHTYPE,1.0,
2680,133.14,1642.0,,0.0,55.57,0.83,2045.0,,475.38,55.57,403.0,2935.61,9.47,0.0,0.0,243.39,0.0,vehroute_133.14 tripinfo_133.14,DEFAULT_VEHTYPE,1.0,
2681,350.1,1852.0,,0.0,55.55,2.0,2045.0,,487.52,55.56,193.0,3408.23,0.0,0.0,0.0,0.0,0.0,vehroute_350.1 tripinfo_350.1,DEFAULT_VEHTYPE,1.0,
2682,351.2,1906.0,,0.0,55.55,0.12,2045.0,,494.71,55.55,139.0,2664.89,0.0,0.0,0.0,0.0,0.0,vehroute_351.2 tripinfo_351.2,DEFAULT_VEHTYPE,1.0,
2683,337.2,1922.0,,0.0,55.55,2.0,2045.0,,492.01,55.56,123.0,2353.57,6.46,0.0,0.0,6.46,0.0,vehroute_337.2 tripinfo_337.2,DEFAULT_VEHTYPE,1.0,
2684,234.10,1502.0,,0.0,55.56,2.0,2046.0,,476.21,55.57,544.0,6713.49,0.0,0.0,0.0,111.39,0.0,vehroute_234.10 tripinfo_234.10,DEFAULT_VEHTYPE,1.0,
2685,259.8,1622.0,,0.0,55.55,2.0,2048.0,,491.1,55.55,426.0,6395.94,0.0,0.0,0.0,18.16,0.0,vehroute_259.8 tripinfo_259.8,DEFAULT_VEHTYPE,1.0,
2686,151.15,1746.0,,0.0,55.57,2.25,2048.0,,481.41,55.56,302.0,4877.78,0.0,0.0,0.0,0.0,0.0,vehroute_151.15 tripinfo_151.15,DEFAULT_VEHTYPE,1.0,
2687,264.0,1800.0,,0.0,55.57,0.0,2048.0,,429.88,55.57,248.0,2584.63,0.0,0.0,0.0,110.74,0.0,vehroute_264.0 tripinfo_264.0,DEFAULT_VEHTYPE,1.0,
2688,290.1,1850.0,,0.0,55.57,0.0,2048.0,,489.02,55.57,198.0,3473.17,0.0,0.0,0.0,0.0,0.0,vehroute_290.1 tripinfo_290.1,DEFAULT_VEHTYPE,1.0,
2689,159.17,1750.0,,0.0,55.57,0.0,2049.0,,491.1,55.55,299.0,4807.02,4.68,0.0,0.0,4.68,0.0,vehroute_159.17 tripinfo_159.17,DEFAULT_VEHTYPE,1.0,
2690,382.0,1816.0,,0.0,55.56,16.0,2049.0,,492.01,55.56,233.0,3902.96,0.0,0.0,0.0,3.95,0.0,vehroute_382.0 tripinfo_382.0,DEFAULT_VEHTYPE,1.0,
2691,361.0,1818.0,,0.0,55.56,18.0,2050.0,,487.52,55.56,232.0,3902.96,0.0,0.0,0.0,3.46,0.0,vehroute_361.0 tripinfo_361.0,DEFAULT_VEHTYPE,1.0,
2692,186.12,1536.0,,0.0,55.56,0.71,2051.0,,494.71,55.55,515.0,7763.17,8.44,0.0,0.0,8.72,0.0,vehroute_186.12 tripinfo_186.12,DEFAULT_VEHTYPE,1.0,
2693,162.11,1725.0,,0.0,55.57,0.0,2051.0,,481.41,55.56,326.0,5228.76,1.0,0.0,0.0,1.0,0.0,vehroute_162.11 tripinfo_162.11,DEFAULT_VEHTYPE,1.0,
2694,178.13,1632.0,,0.0,55.56,0.75,2052.0,,475.38,55.57,420.0,3512.31,2.89,0.0,0.0,218.42,0.0,vehroute_178.13 tripinfo_178.13,DEFAULT_VEHTYPE,1.0,
2695,230.15,1744.0,,0.0,55.56,0.25,2053.0,,494.71,55.55,309.0,5026.39,0.0,0.0,0.0,0.0,0.0,vehroute_230.15 tripinfo_230.15,DEFAULT_VEHTYPE,1.0,
2696,192.7,1320.0,,0.0,55.57,0.0,2054.0,,491.1,55.55,734.0,5635.79,73.49,0.0,0.0,380.27,0.0,vehroute_192.7 tripinfo_192.7,DEFAULT_VEHTYPE,1.0,
2697,133.15,1695.0,,0.0,55.57,0.88,2054.0,,475.38,55.57,359.0,2935.61,0.0,0.0,0.0,199.47,0.0,vehroute_133.15 tripinfo_133.15,DEFAULT_VEHTYPE,1.0,
2698,244.8,1324.0,,0.0,55.56,0.47,2055.0,,475.38,55.57,731.0,5205.87,13.63,0.0,0.0,407.98,0.0,vehroute_244.8 tripinfo_244.8,DEFAULT_VEHTYPE,1.0,
2699,215.8,1555.0,,0.0,55.55,0.46,2055.0,,491.1,55.55,500.0,5275.17,172.93,0.0,0.0,172.94,0.0,vehroute_215.8 tripinfo_215.8,DEFAULT_VEHTYPE,1.0,
2700,153.4,1628.0,,0.0,55.57,8.0,2055.0,,494.71,55.55,427.0,6589.28,1.79,0.0,0.0,1.79,0.0,vehroute_153.4 tripinfo_153.4,DEFAULT_VEHTYPE,1.0,
2701,288.1,1931.0,,0.0,55.57,2.43,2055.0,,476.21,55.57,124.0,2435.49,0.0,0.0,0.0,0.0,0.0,vehroute_288.1 tripinfo_288.1,DEFAULT_VEHTYPE,1.0,
2702,201.13,1589.0,,0.0,55.55,0.77,2058.0,,476.21,55.57,469.0,6291.75,5.69,0.0,0.0,67.89,0.0,vehroute_201.13 tripinfo_201.13,DEFAULT_VEHTYPE,1.0,
2703,161.16,1658.0,,0.0,55.57,0.11,2058.0,,492.01,55.56,400.0,6178.39,1.69,0.0,0.0,6.46,0.0,vehroute_161.16 tripinfo_161.16,DEFAULT_VEHTYPE,1.0,
2704,231.17,1706.0,,0.0,55.56,0.74,2058.0,,490.96,55.57,352.0,5580.05,2.0,0.0,0.0,2.0,0.0,vehroute_231.17 tripinfo_231.17,DEFAULT_VEHTYPE,1.0,
2705,395.3,1959.0,,0.0,55.55,0.18,2058.0,,487.52,55.56,99.0,2098.47,0.0,0.0,0.0,0.0,0.0,vehroute_395.3 tripinfo_395.3,DEFAULT_VEHTYPE,1.0,
2706,371.2,1943.0,,0.0,55.56,4.54,2059.0,,492.01,55.56,116.0,2256.91,5.27,0.0,0.0,5.27,0.0,vehroute_371.2 tripinfo_371.2,DEFAULT_VEHTYPE,1.0,
2707,234.11,1560.0,,0.0,55.56,0.0,2060.0,,476.21,55.57,500.0,6713.49,0.0,0.0,0.0,68.27,0.0,vehroute_234.11 tripinfo_234.11,DEFAULT_VEHTYPE,1.0,
2708,178.14,1688.0,,0.0,55.56,0.5,2061.0,,475.38,55.57,373.0,3512.31,0.0,0.0,0.0,171.36,0.0,vehroute_178.14 tripinfo_178.14,DEFAULT_VEHTYPE,1.0,
2709,309.0,1802.0,,0.0,55.56,2.0,2061.0,,429.88,55.57,259.0,3161.33,0.0,0.0,0.0,80.44,0.0,vehroute_309.0 tripinfo_309.0,DEFAULT_VEHTYPE,1.0,
2710,329.0,1820.0,,0.0,55.57,20.0,2061.0,,494.71,55.55,241.0,3963.55,4.51,0.0,0.0,7.96,0.0,vehroute_329.0 tripinfo_329.0,DEFAULT_VEHTYPE,1.0,
2711,220.16,1748.0,,0.0,55.56,0.94,2062.0,,490.96,55.57,314.0,5003.63,5.96,0.0,0.0,5.96,0.0,vehroute_220.16 tripinfo_220.16,DEFAULT_VEHTYPE,1.0,
2712,170.11,1662.0,,0.0,55.57,0.47,2063.0,,491.1,55.55,401.0,6291.75,0.0,0.0,0.0,0.0,0.0,vehroute_170.11 tripinfo_170.11,DEFAULT_VEHTYPE,1.0,
2713,204.11,1725.0,,0.0,55.55,0.0,2063.0,,489.65,55.55,338.0,5275.17,0.0,0.0,0.0,10.22,0.0,vehroute_204.11 tripinfo_204.11,DEFAULT_VEHTYPE,1.0,
2714,330.1,1853.0,,0.0,55.55,0.06,2063.0,,490.96,55.57,210.0,3632.26,0.0,0.0,0.0,1.32,0.0,vehroute_330.1 tripinfo_330.1,DEFAULT_VEHTYPE,1.0,
2715,133.16,1748.0,,0.0,55.57,0.94,2064.0,,475.38,55.57,316.0,2935.61,0.0,0.0,0.0,156.48,0.0,vehroute_133.16 tripinfo_133.16,DEFAULT_VEHTYPE,1.0,
2716,185.13,1636.0,,0.0,55.56,4.75,2066.0,,487.52,55.56,430.0,6639.74,0.0,0.0,0.0,4.5,0.0,vehroute_185.13 tripinfo_185.13,DEFAULT_VEHTYPE,1.0,
2717,235.18,1755.0,,0.0,55.56,2.38,2066.0,,486.13,55.56,311.0,4993.69,0.0,0.0,0.0,3.67,0.0,vehroute_235.18 tripinfo_235.18,DEFAULT_VEHTYPE,1.0,
2718,269.1,1857.0,,0.0,55.57,0.75,2066.0,,491.1,55.55,209.0,3632.26,0.0,0.0,0.0,0.0,0.0,vehroute_269.1 tripinfo_269.1,DEFAULT_VEHTYPE,1.0,
